Name;experiment;size-dataset;date_range;lookback;dropout;learning_rate;RSME;MAPE;mae;loss;epoch;Runtime;State;Notes;User;Tags;Created;Sweep;activation_1;architecture_name;batch_size;dataset_name;loss_function;best_epoch;best_val_loss;val_loss;val_mae
upbeat-bush-32;effect-size-ds;3y;2020-2023;40d;0,1;0,003157552;562,686992;3,871182829;0,025426663;0,001234065;100;361;finished;-;sal-souzasa;;2023-09-12T19:04:08.000Z;;tanh;LSTM;64;BTC-USD;mean_squared_error;0;392556000;392561920;19687,14063
cerulean-voice-31;effect-size-ds;3y;2020-2023;40d;0,1;0,003172527;85,52793056;2,683379943;0,023336746;0,001011274;100;360;finished;-;sal-souzasa;;2023-09-12T18:57:12.000Z;;tanh;LSTM;64;BTC-USD;mean_squared_error;0;392558912;392561536;19687,13281
curious-moon-30;effect-size-ds;3y;2020-2023;30d;0,1;0,004122835;276,4888505;2,830451433;0,023701265;0,001048326;100;341;finished;-;sal-souzasa;;2023-09-12T18:50:23.000Z;;tanh;LSTM;64;BTC-USD;mean_squared_error;1;392558464;392561376;19687,12695
charmed-sun-29;effect-size-ds;3y;2020-2023;30d;0,1;0,001184554;49,92952109;3,367599922;0,02622669;0,001345457;100;329;finished;-;sal-souzasa;;2023-09-12T18:44:03.000Z;;tanh;LSTM;64;BTC-USD;mean_squared_error;1;392558720;392561536;19687,13086
colorful-sunset-28;effect-size-ds;3y;2020-2023;30d;0,1;0,005609141;199,3866925;2,643760096;0,022595063;0,000949915;100;387;finished;-;sal-souzasa;;2023-09-12T18:36:24.000Z;;tanh;LSTM;64;BTC-USD;mean_squared_error;2;392560480;392561440;19687,13086
mild-blaze-27;effect-size-ds;3y;2020-2023;30d;0,1;0,004647013;177,2470265;2,615488789;0,022288775;0,000917645;100;334;finished;-;sal-souzasa;;2023-09-12T18:29:02.000Z;;tanh;LSTM;64;BTC-USD;mean_squared_error;1;392559456;392561472;19687,13086
fallen-sun-26;effect-size-ds;3y;2020-2023;30d;0,1;0,005572013;123,9847253;2,481071158;0,020878436;0,000825217;100;413;finished;-;sal-souzasa;;2023-09-12T18:21:33.000Z;;tanh;LSTM;64;BTC-USD;mean_squared_error;2;392560416;392561632;19687,13281
snowy-cloud-25;effect-size-ds;3y;2020-2023;30d;0,1;0,004950532;650,6498914;4,030489048;0,024987726;0,001145551;100;425;finished;-;sal-souzasa;;2023-09-12T18:13:27.000Z;;tanh;LSTM;64;BTC-USD;mean_squared_error;5;392560608;392561152;19687,12109
apricot-elevator-24;effect-size-ds;3y;2020-2023;40d;0,1;0,006666904;313,4728752;2,841474537;0,024906566;0,001106495;100;436;finished;-;sal-souzasa;;2023-09-12T18:04:59.000Z;;tanh;LSTM;64;BTC-USD;mean_squared_error;1;392557952;392561376;19687,125
magic-star-23;effect-size-ds;3y;2020-2023;20d;0,1;0,00485395;546,3352193;3,676111717;0,023571132;0,000990204;100;229;finished;-;sal-souzasa;;2023-09-12T17:58:43.000Z;;tanh;LSTM;64;BTC-USD;mean_squared_error;0;392557472;392561216;19687,12305
