"Name","experiment","size-dataset","date_range","lookback","dropout","learning_rate","RSME","MAPE","mae","loss","epoch","Runtime","State","Notes","User","Tags","Created","Sweep","activation_1","architecture","batch_size","dataset","loss_function","best_epoch","best_val_loss","val_loss","val_mae"
"logical-feather-41","effect-size-ds","3y","2020-2023","50d","0.1","0.0022330826755887186","199.75238228699553","3.1515321843278405","0.024137884378433228","0.001077540684491396","100","412","finished","-","sal-souzasa","","2023-09-12T20:30:08.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","0","392556000","392561440","19687.126953125"
"vague-totem-40","effect-size-ds","3y","2020-2023","50d","0.1","0.008294724691228788","1116.3422128993834","6.159595981083451","0.023334046825766563","0.00095846428303048","100","577","finished","-","sal-souzasa","","2023-09-12T20:16:00.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","40","392560544","392562272","19687.150390625"
"cool-sun-39","effect-size-ds","3y","2020-2023","50d","0.1","0.0035631407489613237","300.2616048906951","2.99879815403152","0.023716693744063377","0.000984333222731948","100","460","finished","-","sal-souzasa","","2023-09-12T20:07:33.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","1","392559168","392561408","19687.126953125"
"zesty-waterfall-38","effect-size-ds","3y","2020-2023","50d","0.1","0.009393800072099038","449.60608183856505","3.2705876076908855","0.02167833037674427","0.0008569828351028264","100","449","finished","-","sal-souzasa","","2023-09-12T19:59:26.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","1","392560320","392561344","19687.125"
"snowy-gorge-37","effect-size-ds","3y","2020-2023","50d","0.1","0.009497708542969234","980.1896370515695","5.36710621588377","0.02567717805504799","0.0011630066437646749","100","861","finished","-","sal-souzasa","","2023-09-12T19:42:29.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","94","392560704","392560960","19687.1171875"
"gallant-lion-35","effect-size-ds","3y","2020-2023","40d","0.1","0.001220675128521613","404.32956137892376","3.78118082185013","0.02493928000330925","0.0012535088462755084","100","413","finished","-","sal-souzasa","","2023-09-12T19:28:14.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","1","392558720","392561312","19687.125"
"gallant-wave-34","effect-size-ds","3y","2020-2023","40d","0.1","0.009381287712079732","208.28777063480945","2.640570679303386","0.02322844415903091","0.000991850276477635","100","344","finished","-","sal-souzasa","","2023-09-12T19:19:27.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","0","392559904","392561440","19687.130859375"
"trim-rain-33","effect-size-ds","3y","2020-2023","40d","0.1","0.008743946509563299","9.448631936659194","2.3145372342107775","0.02234174497425556","0.0009459105785936116","100","383","finished","-","sal-souzasa","","2023-09-12T19:11:34.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","0","392559904","392561600","19687.1328125"
"upbeat-bush-32","effect-size-ds","3y","2020-2023","40d","0.1","0.0031575517089145735","562.6869920123319","3.87118282885244","0.02542666345834732","0.001234065042808652","100","361","finished","-","sal-souzasa","","2023-09-12T19:04:08.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","0","392556000","392561920","19687.140625"
"cerulean-voice-31","effect-size-ds","3y","2020-2023","40d","0.1","0.003172527279010109","85.5279305633408","2.683379943156127","0.0233367457985878","0.0010112737072631717","100","360","finished","-","sal-souzasa","","2023-09-12T18:57:12.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","0","392558912","392561536","19687.1328125"
"curious-moon-30","effect-size-ds","3y","2020-2023","30d","0.1","0.004122834877733686","276.48885054652465","2.830451433067271","0.023701265454292297","0.0010483262594789269","100","341","finished","-","sal-souzasa","","2023-09-12T18:50:23.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","1","392558464","392561376","19687.126953125"
"charmed-sun-29","effect-size-ds","3y","2020-2023","30d","0.1","0.001184553823952987","49.92952109024664","3.367599921600886","0.026226690039038655","0.0013454568106681108","100","329","finished","-","sal-souzasa","","2023-09-12T18:44:03.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","1","392558720","392561536","19687.130859375"
"colorful-sunset-28","effect-size-ds","3y","2020-2023","30d","0.1","0.005609140806010205","199.38669247477577","2.643760096442177","0.022595062851905823","0.0009499152074567974","100","387","finished","-","sal-souzasa","","2023-09-12T18:36:24.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","2","392560480","392561440","19687.130859375"
"mild-blaze-27","effect-size-ds","3y","2020-2023","30d","0.1","0.004647012935594222","177.24702652045963","2.615488788568611","0.022288775071501732","0.0009176451130770148","100","334","finished","-","sal-souzasa","","2023-09-12T18:29:02.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","1","392559456","392561472","19687.130859375"
"fallen-sun-26","effect-size-ds","3y","2020-2023","30d","0.1","0.005572013254954795","123.98472533632288","2.481071158446839","0.020878436043858528","0.0008252165862359107","100","413","finished","-","sal-souzasa","","2023-09-12T18:21:33.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","2","392560416","392561632","19687.1328125"
"snowy-cloud-25","effect-size-ds","3y","2020-2023","30d","0.1","0.004950531947192802","650.6498913957399","4.030489048121247","0.0249877255409956","0.0011455512139946222","100","425","finished","-","sal-souzasa","","2023-09-12T18:13:27.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","5","392560608","392561152","19687.12109375"
"apricot-elevator-24","effect-size-ds","3y","2020-2023","40d","0.1","0.00666690436214259","313.4728752102018","2.841474537239609","0.024906566366553307","0.0011064951540902257","100","436","finished","-","sal-souzasa","","2023-09-12T18:04:59.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","1","392557952","392561376","19687.125"
"magic-star-23","effect-size-ds","3y","2020-2023","20d","0.1","0.0048539499053284595","546.3352193105382","3.676111716565732","0.023571131750941277","0.000990204163827002","100","229","finished","-","sal-souzasa","","2023-09-12T17:58:43.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","0","392557472","392561216","19687.123046875"
"skilled-monkey-22","effect-size-ds","3y","2020-2023","20d","0.1","0.008103500307916326","176.8112431684417","3.217166723739753","0.02527857944369316","0.0011973893269896507","100","278","finished","-","sal-souzasa","","2023-09-12T17:53:15.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","1","392559552","392561696","19687.134765625"
"comfy-armadillo-21","effect-size-ds","3y","2020-2023","20d","0.1","0.0050700098389006645","149.63117029848655","2.529205473070757","0.02356613427400589","0.0010858403984457254","100","348","finished","-","sal-souzasa","","2023-09-12T17:45:54.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","51","392560544","392561440","19687.130859375"
"scarlet-rain-20","effect-size-ds","3y","2020-2023","20d","0.1","0.005178247306707964","29.61773927970852","2.5293758050115787","0.02212434448301792","0.0008878480875864625","100","581","finished","-","sal-souzasa","","2023-09-12T17:20:35.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","91","392560736","392561568","19687.1328125"
"likely-bird-19","effect-size-ds","3y","2020-2023","20d","0.1","0.008661064723479934","289.47863824271303","2.6920465503234117","0.022105418145656586","0.0008955519297160208","100","231","finished","-","sal-souzasa","","2023-09-12T17:15:07.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","0","392558752","392561376","19687.126953125"
"expert-energy-18","effect-size-ds","3y","2020-2023","20d","0.1","0.004109133366342465","92.72245480661437","2.465300087012261","0.020611470565199852","0.0008392905001528561","100","226","finished","-","sal-souzasa","","2023-09-12T17:09:31.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","0","392559328","392561536","19687.130859375"
"stilted-armadillo-17","effect-size-ds","3y","2020-2023","10d","0.1","0.008668894230341083","712.2912258267937","4.185943544378057","0.023597287014126778","0.0009651676518842578","100","1074","finished","-","sal-souzasa","","2023-09-12T16:45:13.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","35","392560800","392561120","19687.12109375"
"warm-jazz-16","effect-size-ds","3y","2020-2023","10d","0.1","0.007762283191897854","281.6450786505045","2.9698886024675692","0.020952926948666573","0.0008169888169504702","100","694","finished","-","sal-souzasa","","2023-09-12T16:32:12.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","18","392560064","392561792","19687.134765625"
"generous-cloud-15","effect-size-ds","3y","2020-2023","10d","0.1","0.002644373663758781","53.55161767797085","2.741961410839497","0.023181527853012085","0.0010552534367889166","100","463","finished","-","sal-souzasa","","2023-09-12T16:21:46.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","95","392560864","392561632","19687.134765625"
"dulcet-sponge-14","effect-size-ds","3y","2020-2023","10d","0.1","0.057338895196493954","1904.4268147421524","11.517977487289114","0.025846820324659348","0.0011508733732625842","100","183","finished","-","sal-souzasa","","2023-09-12T16:17:25.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","0","392551136","392560352","19687.1015625"
"rare-armadillo-13","effect-size-ds","3y","2020-2023","10d","0.1","0.08222246045488228","47879.46099005045","247.65905663555765","0.5806741118431091","0.42189404368400574","100","194","finished","-","sal-souzasa","","2023-09-12T16:13:16.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","0","392531616","392531616","19686.3671875"
"sleek-river-12","effect-size-ds","3y","2020-2023","10d","0.1","0.09387634807267242","47879.46099005045","247.65905663555765","0.5806741118431091","0.4218940734863281","100","176","finished","-","sal-souzasa","","2023-09-12T16:09:26.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","0","392531616","392531616","19686.3671875"
"peach-forest-11","effect-size-ds","3y","2020-2023","10d","0.1","0.057458393180958627","343.36040411294846","3.5012884037440553","0.02768512442708015","0.0012750002788379788","100","183","finished","-","sal-souzasa","","2023-09-12T16:05:19.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","0","392551904","392561344","19687.125"
"stellar-tree-8","effect-size-ds","3y","2020-2023","10d","0.1","0.0919093284264958","47879.46099005045","247.65905663555765","0.5806741714477539","0.4218940734863281","100","184","finished","-","sal-souzasa","","2023-09-12T15:24:31.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","0","392531616","392531616","19686.3671875"
"fast-cherry-7","effect-size-ds","3y","2020-2023","05d","0.1","0.07234684041362492","585.968373388453","4.7000739046709015","0.037509024143218994","0.002201945288106799","100","185","finished","-","sal-souzasa","","2023-09-12T15:17:55.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","2","392551392","392561152","19687.12109375"
"worthy-galaxy-6","effect-size-ds","3y","2020-2023","05d","0.1","0.04013910811895575","14.349118904147982","2.9359460888436444","0.024267757311463356","0.001000982359983027","100","139","finished","-","sal-souzasa","","2023-09-12T15:13:47.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","0","392555904","392561568","19687.1328125"
"rose-snowball-5","effect-size-ds","3y","2020-2023","05d","0.1","0.052780940807488345","2356.7175019268498","12.331872852305974","0.055679403245449066","0.005252486560493708","100","205","finished","-","sal-souzasa","","2023-09-12T15:08:44.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","1","392546528","392560000","19687.09375"
"revived-dream-4","effect-size-ds","3y","2020-2023","05d","0.1","0.03610511694111078","1333.364743904148","7.160207335122289","0.02834302559494972","0.0013631045585498214","100","167","finished","-","sal-souzasa","","2023-09-12T15:05:02.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","0","392556384","392560704","19687.109375"
"young-grass-3","effect-size-ds","3y","2020-2023","05d","0.1","0.05965018256653107","173.9413230451233","2.8326486700062143","0.02106613479554653","0.000805349089205265","100","156","finished","-","sal-souzasa","","2023-09-12T15:01:31.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","0","392555328","392561664","19687.134765625"
